time 	 LH 	 RH
001.261	75.9602	24.0398	
001.321	77.1589	22.8411	
001.387	78.2990	21.7010	
001.447	79.3814	20.6186	
001.507	80.4085	19.5914	
001.556	81.3873	18.6127	
001.620	82.2336	17.7664	
001.696	83.0531	16.9469	
001.761	83.7272	16.2728	
001.820	84.5085	15.4915	
001.885	85.2705	14.7295	
001.945	85.9929	14.0071	
002.012	86.6897	13.3103	
002.070	87.3541	12.6459	
002.133	87.9816	12.0184	
002.198	88.5401	11.4599	
002.261	89.0987	10.9013	
002.322	89.6157	10.3843	
002.386	90.0592	9.9408	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.024	50.0000	50.0000	
000.039	52.4643	47.5357	
000.070	54.8358	45.1642	
000.144	57.0917	42.9083	
000.207	59.2336	40.7664	
000.271	61.2617	38.7383	
000.332	63.1986	36.8014	
000.395	65.0382	34.9618	
000.455	66.7860	33.2140	
000.524	68.4465	31.5535	
000.579	70.0241	29.9759	
000.642	71.5216	28.4784	
000.707	72.9443	27.0557	
000.772	74.2962	25.7038	
000.831	75.5812	24.4188	
000.896	76.8005	23.1995	
000.959	77.9585	22.0415	
001.021	79.0600	20.9400	
001.077	80.1056	19.8944	
001.144	81.1002	18.8998	
001.207	82.0447	17.9553	
001.270	82.9414	17.0586	
001.329	83.7939	16.2061	
001.395	84.6041	15.3959	
001.454	85.3739	14.6261	
001.522	86.1047	13.8953	
001.577	86.7990	13.2010	
001.641	87.4589	12.5411	
001.706	88.0859	11.9141	
001.768	88.6808	11.3192	
001.831	89.2466	10.7534	
001.895	89.7833	10.2167	
001.955	90.2941	9.7059	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.023	50.0000	50.0000	
000.038	52.4995	47.5005	
000.096	54.8744	45.1256	
000.160	57.1307	42.8693	
000.219	59.2741	40.7259	
000.284	61.3104	38.6896	
000.349	63.2448	36.7552	
000.412	65.0826	34.9174	
000.467	66.8285	33.1715	
000.529	68.4854	31.5146	
000.583	70.0553	29.9447	
000.659	71.5524	28.4476	
000.720	72.9747	27.0253	
000.784	74.3260	25.6740	
000.839	75.6096	24.3904	
000.911	76.8267	23.1733	
000.967	77.3556	22.6444	
001.031	76.0954	23.9046	
001.090	77.2486	22.7514	
001.153	78.3759	21.6241	
001.218	79.4291	20.5709	
001.282	80.1862	19.8138	
001.345	81.1759	18.8241	
001.413	82.1085	17.8915	
001.469	82.8650	17.1350	
001.519	82.6012	17.3988	
001.594	83.4038	16.5962	
001.661	84.2306	15.7694	
001.721	84.9610	15.0390	
001.784	85.5641	14.4359	
001.852	86.1957	13.8043	
001.913	86.8734	13.1266	
001.969	87.4880	12.5120	
002.033	88.0831	11.9169	
002.097	88.6762	11.3238	
002.161	89.2424	10.7576	
002.221	89.7800	10.2200	
002.285	90.2725	9.7275	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.021	50.0000	50.0000	
000.037	52.5000	47.5000	
000.089	54.8750	45.1250	
000.153	57.1311	42.8689	
000.217	59.2746	40.7254	
000.282	61.3109	38.6891	
000.339	63.2453	36.7547	
000.403	65.0830	34.9170	
000.467	66.8267	33.1733	
000.532	68.4846	31.5154	
000.590	70.0602	29.9398	
000.655	71.5570	28.4430	
000.719	72.9765	27.0235	
000.782	74.3267	25.6733	
000.840	75.6103	24.3897	
